,fecd,bm25,dtfipf
rs/n,0.4044862518089725,0.2098623853211009,0.22549019607843138
n,691.0,872.0,1071.0
#of0rel,230.0,505.0,661.0
#of1rel,250.0,157.0,228.0
#of0.5rel,59.0,52.0,27.0
pof0rel,0.33285094066570187,0.5791284403669725,0.6171802054154996
pof1rel,0.361794500723589,0.18004587155963303,0.21288515406162464
pof0.5rel,0.085383502170767,0.05963302752293578,0.025210084033613446
cs/n,0.38205499276411,0.14678899082568808,0.18347338935574228
#of0coh,229.0,554.0,700.0
#of1coh,218.0,96.0,177.0
#of0.5coh,92.0,64.0,39.0
pof0coh,0.3314037626628075,0.6353211009174312,0.6535947712418301
pof1coh,0.3154848046309696,0.11009174311926606,0.16526610644257703
pof0.5coh,0.13314037626628075,0.07339449541284404,0.036414565826330535
