,fecd,bm25,dtfipf
0,"{'s/n': 0.1, 'n': 5, '#of0': 4, '#of1': 0, '#of0.5': 1, 'pof0': 0.8, 'pof1': 0.0, 'pof0.5': 0.2, 'section': '1.1'}","{'s/n': 0.0, 'n': 32, '#of0': 32, '#of1': 0, '#of0.5': 0, 'pof0': 1.0, 'pof1': 0.0, 'pof0.5': 0.0, 'section': '1.1'}","{'s/n': 0.041666666666666664, 'n': 12, '#of0': 11, '#of1': 0, '#of0.5': 1, 'pof0': 0.9166666666666666, 'pof1': 0.0, 'pof0.5': 0.08333333333333333, 'section': '1.1'}"
1,"{'s/n': 0.17708333333333334, 'n': 48, '#of0': 39, '#of1': 8, '#of0.5': 1, 'pof0': 0.8125, 'pof1': 0.16666666666666666, 'pof0.5': 0.020833333333333332, 'section': '2'}","{'s/n': 0.11333333333333333, 'n': 75, '#of0': 66, '#of1': 8, '#of0.5': 1, 'pof0': 0.88, 'pof1': 0.10666666666666667, 'pof0.5': 0.013333333333333334, 'section': '2'}","{'s/n': 0.07142857142857142, 'n': 105, '#of0': 93, '#of1': 3, '#of0.5': 9, 'pof0': 0.8857142857142857, 'pof1': 0.02857142857142857, 'pof0.5': 0.08571428571428572, 'section': '2'}"
2,"{'s/n': 0.875, 'n': 16, '#of0': 2, '#of1': 14, '#of0.5': 0, 'pof0': 0.125, 'pof1': 0.875, 'pof0.5': 0.0, 'section': '3.1'}","{'s/n': 0.03571428571428571, 'n': 14, '#of0': 13, '#of1': 0, '#of0.5': 1, 'pof0': 0.9285714285714286, 'pof1': 0.0, 'pof0.5': 0.07142857142857142, 'section': '3.1'}","{'s/n': 0.0, 'n': 24, '#of0': 24, '#of1': 0, '#of0.5': 0, 'pof0': 1.0, 'pof1': 0.0, 'pof0.5': 0.0, 'section': '3.1'}"
3,"{'s/n': 0.25, 'n': 6, '#of0': 4, '#of1': 1, '#of0.5': 1, 'pof0': 0.6666666666666666, 'pof1': 0.16666666666666666, 'pof0.5': 0.16666666666666666, 'section': '3.2'}","{'s/n': 0.0, 'n': 13, '#of0': 13, '#of1': 0, '#of0.5': 0, 'pof0': 1.0, 'pof1': 0.0, 'pof0.5': 0.0, 'section': '3.2'}","{'s/n': 0.38461538461538464, 'n': 13, '#of0': 8, '#of1': 5, '#of0.5': 0, 'pof0': 0.6153846153846154, 'pof1': 0.38461538461538464, 'pof0.5': 0.0, 'section': '3.2'}"
4,"{'s/n': 0.0, 'n': 4, '#of0': 4, '#of1': 0, '#of0.5': 0, 'pof0': 1.0, 'pof1': 0.0, 'pof0.5': 0.0, 'section': '3.3'}","{'s/n': 0.05555555555555555, 'n': 9, '#of0': 8, '#of1': 0, '#of0.5': 1, 'pof0': 0.8888888888888888, 'pof1': 0.0, 'pof0.5': 0.1111111111111111, 'section': '3.3'}","{'s/n': 0.8571428571428571, 'n': 7, '#of0': 1, '#of1': 6, '#of0.5': 0, 'pof0': 0.14285714285714285, 'pof1': 0.8571428571428571, 'pof0.5': 0.0, 'section': '3.3'}"
5,"{'s/n': 0.7777777777777778, 'n': 9, '#of0': 2, '#of1': 7, '#of0.5': 0, 'pof0': 0.2222222222222222, 'pof1': 0.7777777777777778, 'pof0.5': 0.0, 'section': '3.4'}","{'s/n': 0.18181818181818182, 'n': 11, '#of0': 7, '#of1': 0, '#of0.5': 4, 'pof0': 0.6363636363636364, 'pof1': 0.0, 'pof0.5': 0.36363636363636365, 'section': '3.4'}","{'s/n': 0.5384615384615384, 'n': 13, '#of0': 5, '#of1': 6, '#of0.5': 2, 'pof0': 0.38461538461538464, 'pof1': 0.46153846153846156, 'pof0.5': 0.15384615384615385, 'section': '3.4'}"
6,"{'s/n': 1.0, 'n': 9, '#of0': 0, '#of1': 9, '#of0.5': 0, 'pof0': 0.0, 'pof1': 1.0, 'pof0.5': 0.0, 'section': '4.1'}","{'s/n': 0.8636363636363636, 'n': 11, '#of0': 0, '#of1': 8, '#of0.5': 3, 'pof0': 0.0, 'pof1': 0.7272727272727273, 'pof0.5': 0.2727272727272727, 'section': '4.1'}","{'s/n': 0.47058823529411764, 'n': 17, '#of0': 9, '#of1': 8, '#of0.5': 0, 'pof0': 0.5294117647058824, 'pof1': 0.47058823529411764, 'pof0.5': 0.0, 'section': '4.1'}"
7,"{'s/n': 1.0, 'n': 9, '#of0': 0, '#of1': 9, '#of0.5': 0, 'pof0': 0.0, 'pof1': 1.0, 'pof0.5': 0.0, 'section': '4.2'}","{'s/n': 0.8181818181818182, 'n': 11, '#of0': 2, '#of1': 9, '#of0.5': 0, 'pof0': 0.18181818181818182, 'pof1': 0.8181818181818182, 'pof0.5': 0.0, 'section': '4.2'}","{'s/n': 0.8333333333333334, 'n': 9, '#of0': 1, '#of1': 7, '#of0.5': 1, 'pof0': 0.1111111111111111, 'pof1': 0.7777777777777778, 'pof0.5': 0.1111111111111111, 'section': '4.2'}"
8,"{'s/n': 0.9444444444444444, 'n': 9, '#of0': 0, '#of1': 8, '#of0.5': 1, 'pof0': 0.0, 'pof1': 0.8888888888888888, 'pof0.5': 0.1111111111111111, 'section': '4.3'}","{'s/n': 0.7777777777777778, 'n': 9, '#of0': 2, '#of1': 7, '#of0.5': 0, 'pof0': 0.2222222222222222, 'pof1': 0.7777777777777778, 'pof0.5': 0.0, 'section': '4.3'}","{'s/n': 0.5833333333333334, 'n': 12, '#of0': 5, '#of1': 7, '#of0.5': 0, 'pof0': 0.4166666666666667, 'pof1': 0.5833333333333334, 'pof0.5': 0.0, 'section': '4.3'}"
9,"{'s/n': 0.625, 'n': 8, '#of0': 1, '#of1': 3, '#of0.5': 4, 'pof0': 0.125, 'pof1': 0.375, 'pof0.5': 0.5, 'section': '4.4'}","{'s/n': 0.3333333333333333, 'n': 9, '#of0': 5, '#of1': 2, '#of0.5': 2, 'pof0': 0.5555555555555556, 'pof1': 0.2222222222222222, 'pof0.5': 0.2222222222222222, 'section': '4.4'}","{'s/n': 0.0, 'n': 35, '#of0': 35, '#of1': 0, '#of0.5': 0, 'pof0': 1.0, 'pof1': 0.0, 'pof0.5': 0.0, 'section': '4.4'}"
