,rs/n,n,#of0rel,#of1rel,#of0.5rel,pof0rel,pof1rel,pof0.5rel,cs/n,#of0,#of1,#of0.5,pof0,pof1,pof0.5,section
0,0.0,32,32,0,0,1.0,0.0,0.0,0.0,32,0,0,1.0,0.0,0.0,1.1
1,0.12,75,65,8,2,0.8666666666666667,0.10666666666666667,0.02666666666666667,0.03333333333333333,70,0,5,0.9333333333333333,0.0,0.06666666666666667,2
2,0.03571428571428571,14,13,0,1,0.9285714285714286,0.0,0.07142857142857142,0.10714285714285714,12,1,1,0.8571428571428571,0.07142857142857142,0.07142857142857142,3.1
3,0.0,13,13,0,0,1.0,0.0,0.0,0.0,13,0,0,1.0,0.0,0.0,3.2
4,0.05555555555555555,9,8,0,1,0.8888888888888888,0.0,0.1111111111111111,0.0,9,0,0,1.0,0.0,0.0,3.3
5,0.18181818181818182,11,7,0,4,0.6363636363636364,0.0,0.36363636363636365,0.0,11,0,0,1.0,0.0,0.0,3.4
6,0.8636363636363636,11,0,8,3,0.0,0.7272727272727273,0.2727272727272727,0.045454545454545456,10,0,1,0.9090909090909091,0.0,0.09090909090909091,4.1
7,0.8181818181818182,11,2,9,0,0.18181818181818182,0.8181818181818182,0.0,0.36363636363636365,6,3,2,0.5454545454545454,0.2727272727272727,0.18181818181818182,4.2
8,0.7,10,3,7,0,0.3,0.7,0.0,0.2,7,1,2,0.7,0.1,0.2,4.3
9,0.3333333333333333,9,5,2,2,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.2777777777777778,6,2,1,0.6666666666666666,0.2222222222222222,0.1111111111111111,4.4
10,0.65,20,7,13,0,0.35,0.65,0.0,0.375,10,5,5,0.5,0.25,0.25,4.5
11,0.0,16,16,0,0,1.0,0.0,0.0,0.03125,15,0,1,0.9375,0.0,0.0625,4.6
12,0.0,13,13,0,0,1.0,0.0,0.0,0.2692307692307692,8,2,3,0.6153846153846154,0.15384615384615385,0.23076923076923078,4.7
13,0.21052631578947367,19,15,4,0,0.7894736842105263,0.21052631578947367,0.0,0.13157894736842105,16,2,1,0.8421052631578947,0.10526315789473684,0.05263157894736842,4.8
14,0.25,14,10,3,1,0.7142857142857143,0.21428571428571427,0.07142857142857142,0.10714285714285714,12,1,1,0.8571428571428571,0.07142857142857142,0.07142857142857142,4.9
15,0.5277777777777778,18,6,7,5,0.3333333333333333,0.3888888888888889,0.2777777777777778,0.1388888888888889,14,1,3,0.7777777777777778,0.05555555555555555,0.16666666666666666,4.10
16,0.19318181818181818,44,32,5,7,0.7272727272727273,0.11363636363636363,0.1590909090909091,0.2840909090909091,29,10,5,0.6590909090909091,0.22727272727272727,0.11363636363636363,4.12
17,0.7307692307692307,13,3,9,1,0.23076923076923078,0.6923076923076923,0.07692307692307693,0.46153846153846156,6,5,2,0.46153846153846156,0.38461538461538464,0.15384615384615385,4.13
18,0.22727272727272727,11,8,2,1,0.7272727272727273,0.18181818181818182,0.09090909090909091,0.0,11,0,0,1.0,0.0,0.0,4.15
19,0.016129032258064516,31,30,0,1,0.967741935483871,0.0,0.03225806451612903,0.016129032258064516,30,0,1,0.967741935483871,0.0,0.03225806451612903,4.17
20,0.3888888888888889,18,11,7,0,0.6111111111111112,0.3888888888888889,0.0,0.2222222222222222,14,4,0,0.7777777777777778,0.2222222222222222,0.0,4.18
21,0.5,15,6,6,3,0.4,0.4,0.2,0.13333333333333333,12,1,2,0.8,0.06666666666666667,0.13333333333333333,4.21
22,0.8181818181818182,11,2,9,0,0.18181818181818182,0.8181818181818182,0.0,0.3181818181818182,6,2,3,0.5454545454545454,0.18181818181818182,0.2727272727272727,4.22
23,0.5,6,3,3,0,0.5,0.5,0.0,0.16666666666666666,5,1,0,0.8333333333333334,0.16666666666666666,0.0,4.23.2
24,1.0,6,0,6,0,0.0,1.0,0.0,0.5833333333333334,2,3,1,0.3333333333333333,0.5,0.16666666666666666,4.23.4
25,0.0,4,4,0,0,1.0,0.0,0.0,0.625,1,2,1,0.25,0.5,0.25,4.23.5
26,0.9285714285714286,7,0,6,1,0.0,0.8571428571428571,0.14285714285714285,0.14285714285714285,5,0,2,0.7142857142857143,0.0,0.2857142857142857,4.23.6
27,1.0,5,0,5,0,0.0,1.0,0.0,0.4,2,1,2,0.4,0.2,0.4,4.23.7
28,0.2,5,4,1,0,0.8,0.2,0.0,0.3,3,1,1,0.6,0.2,0.2,4.23.9
29,0.25,4,3,1,0,0.75,0.25,0.0,0.125,3,0,1,0.75,0.0,0.25,4.23.10
30,0.0,5,5,0,0,1.0,0.0,0.0,0.6,1,2,2,0.2,0.4,0.4,4.23.11
31,1.0,3,0,3,0,0.0,1.0,0.0,1.0,0,3,0,0.0,1.0,0.0,4.23.13
32,0.2196969696969697,66,50,13,3,0.7575757575757576,0.19696969696969696,0.045454545454545456,0.3333333333333333,40,18,8,0.6060606060606061,0.2727272727272727,0.12121212121212122,6
33,0.19047619047619047,63,49,10,4,0.7777777777777778,0.15873015873015872,0.06349206349206349,0.29365079365079366,42,16,5,0.6666666666666666,0.25396825396825395,0.07936507936507936,7
34,0.07547169811320754,53,49,4,0,0.9245283018867925,0.07547169811320754,0.0,0.07547169811320754,49,4,0,0.9245283018867925,0.07547169811320754,0.0,8.1
35,0.0,5,5,0,0,1.0,0.0,0.0,0.2,4,1,0,0.8,0.2,0.0,8.3
36,0.2727272727272727,44,26,6,12,0.5909090909090909,0.13636363636363635,0.2727272727272727,0.11363636363636363,38,4,2,0.8636363636363636,0.09090909090909091,0.045454545454545456,8.4
