,rs/n,n,#of0rel,#of1rel,#of0.5rel,pof0rel,pof1rel,pof0.5rel,cs/n,#of0,#of1,#of0.5,pof0,pof1,pof0.5,section
0,0.041666666666666664,12,11,0,1,0.9166666666666666,0.0,0.08333333333333333,0.3333333333333333,6,2,4,0.5,0.16666666666666666,0.3333333333333333,1.1
1,0.08018867924528301,106,92,3,11,0.8679245283018868,0.02830188679245283,0.10377358490566038,0.12264150943396226,91,11,4,0.8584905660377359,0.10377358490566038,0.03773584905660377,2
2,0.0,24,24,0,0,1.0,0.0,0.0,0.041666666666666664,23,1,0,0.9583333333333334,0.041666666666666664,0.0,3.1
3,0.38461538461538464,13,8,5,0,0.6153846153846154,0.38461538461538464,0.0,0.23076923076923078,10,3,0,0.7692307692307693,0.23076923076923078,0.0,3.2
4,0.8571428571428571,7,1,6,0,0.14285714285714285,0.8571428571428571,0.0,0.5714285714285714,3,4,0,0.42857142857142855,0.5714285714285714,0.0,3.3
5,0.5384615384615384,13,5,6,2,0.38461538461538464,0.46153846153846156,0.15384615384615385,0.15384615384615385,10,1,2,0.7692307692307693,0.07692307692307693,0.15384615384615385,3.4
6,0.47058823529411764,17,9,8,0,0.5294117647058824,0.47058823529411764,0.0,0.08823529411764706,15,1,1,0.8823529411764706,0.058823529411764705,0.058823529411764705,4.1
7,0.8333333333333334,9,1,7,1,0.1111111111111111,0.7777777777777778,0.1111111111111111,0.7777777777777778,2,7,0,0.2222222222222222,0.7777777777777778,0.0,4.2
8,0.5833333333333334,12,5,7,0,0.4166666666666667,0.5833333333333334,0.0,0.3333333333333333,8,4,0,0.6666666666666666,0.3333333333333333,0.0,4.3
9,0.0,35,35,0,0,1.0,0.0,0.0,0.0,35,0,0,1.0,0.0,0.0,4.4
10,0.7857142857142857,28,6,22,0,0.21428571428571427,0.7857142857142857,0.0,0.42857142857142855,16,12,0,0.5714285714285714,0.42857142857142855,0.0,4.5
11,0.0,22,22,0,0,1.0,0.0,0.0,0.0,22,0,0,1.0,0.0,0.0,4.6
12,0.5,20,10,10,0,0.5,0.5,0.0,0.275,14,5,1,0.7,0.25,0.05,4.7
13,0.3333333333333333,24,16,8,0,0.6666666666666666,0.3333333333333333,0.0,0.041666666666666664,23,1,0,0.9583333333333334,0.041666666666666664,0.0,4.8
14,0.2857142857142857,21,15,6,0,0.7142857142857143,0.2857142857142857,0.0,0.19047619047619047,17,4,0,0.8095238095238095,0.19047619047619047,0.0,4.9
15,0.717391304347826,23,6,16,1,0.2608695652173913,0.6956521739130435,0.043478260869565216,0.34782608695652173,14,7,2,0.6086956521739131,0.30434782608695654,0.08695652173913043,4.10
