,rs/n,n,#of0rel,#of1rel,#of0.5rel,pof0rel,pof1rel,pof0.5rel,cs/n,#of0,#of1,#of0.5,pof0,pof1,pof0.5,section
0,0.1,5,4,0,1,0.8,0.0,0.2,1.0,0,5,0,0.0,1.0,0.0,1.1
1,0.2169811320754717,53,41,11,1,0.7735849056603774,0.20754716981132076,0.018867924528301886,0.3584905660377358,31,16,6,0.5849056603773585,0.3018867924528302,0.11320754716981132,2
2,0.875,16,2,14,0,0.125,0.875,0.0,0.5,6,6,4,0.375,0.375,0.25,3.1
3,0.25,6,4,1,1,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.5833333333333334,2,3,1,0.3333333333333333,0.5,0.16666666666666666,3.2
4,0.0,4,4,0,0,1.0,0.0,0.0,1.0,0,4,0,0.0,1.0,0.0,3.3
5,0.7,10,3,7,0,0.3,0.7,0.0,0.7,2,6,2,0.2,0.6,0.2,3.4
6,1.0,9,0,9,0,0.0,1.0,0.0,0.0,9,0,0,1.0,0.0,0.0,4.1
7,1.0,10,0,10,0,0.0,1.0,0.0,0.45,5,4,1,0.5,0.4,0.1,4.2
8,0.9444444444444444,9,0,8,1,0.0,0.8888888888888888,0.1111111111111111,0.3888888888888889,5,3,1,0.5555555555555556,0.3333333333333333,0.1111111111111111,4.3
9,0.625,8,1,3,4,0.125,0.375,0.5,0.3125,5,2,1,0.625,0.25,0.125,4.4
10,1.0,16,0,16,0,0.0,1.0,0.0,0.59375,4,7,5,0.25,0.4375,0.3125,4.5
11,1.0,10,0,10,0,0.0,1.0,0.0,0.5,3,3,4,0.3,0.3,0.4,4.6
12,0.9375,8,0,7,1,0.0,0.875,0.125,0.375,4,2,2,0.5,0.25,0.25,4.7
13,0.9,10,1,9,0,0.1,0.9,0.0,0.25,6,1,3,0.6,0.1,0.3,4.8
14,0.42857142857142855,7,3,2,2,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.35714285714285715,4,2,1,0.5714285714285714,0.2857142857142857,0.14285714285714285,4.9
15,0.75,14,2,9,3,0.14285714285714285,0.6428571428571429,0.21428571428571427,0.6071428571428571,4,7,3,0.2857142857142857,0.5,0.21428571428571427,4.10
16,0.5816326530612245,49,11,19,19,0.22448979591836735,0.3877551020408163,0.3877551020408163,0.6428571428571429,9,23,17,0.1836734693877551,0.46938775510204084,0.3469387755102041,4.12
17,0.9090909090909091,11,1,10,0,0.09090909090909091,0.9090909090909091,0.0,0.3181818181818182,7,3,1,0.6363636363636364,0.2727272727272727,0.09090909090909091,4.13
18,0.7222222222222222,9,1,5,3,0.1111111111111111,0.5555555555555556,0.3333333333333333,0.2777777777777778,5,1,3,0.5555555555555556,0.1111111111111111,0.3333333333333333,4.15
19,0.6923076923076923,13,2,7,4,0.15384615384615385,0.5384615384615384,0.3076923076923077,0.5384615384615384,4,5,4,0.3076923076923077,0.38461538461538464,0.3076923076923077,4.17
20,0.4444444444444444,18,9,7,2,0.5,0.3888888888888889,0.1111111111111111,0.19444444444444445,14,3,1,0.7777777777777778,0.16666666666666666,0.05555555555555555,4.18
21,0.5833333333333334,12,4,6,2,0.3333333333333333,0.5,0.16666666666666666,0.16666666666666666,8,0,4,0.6666666666666666,0.0,0.3333333333333333,4.21
22,0.8333333333333334,9,1,7,1,0.1111111111111111,0.7777777777777778,0.1111111111111111,0.7222222222222222,2,6,1,0.2222222222222222,0.6666666666666666,0.1111111111111111,4.22
23,1.0,6,0,6,0,0.0,1.0,0.0,0.8333333333333334,0,4,2,0.0,0.6666666666666666,0.3333333333333333,4.23.2
24,1.0,5,0,5,0,0.0,1.0,0.0,0.5,2,2,1,0.4,0.4,0.2,4.23.4
25,0.0,3,3,0,0,1.0,0.0,0.0,0.6666666666666666,1,2,0,0.3333333333333333,0.6666666666666666,0.0,4.23.5
26,1.0,6,0,6,0,0.0,1.0,0.0,0.9166666666666666,0,5,1,0.0,0.8333333333333334,0.16666666666666666,4.23.6
27,1.0,3,0,3,0,0.0,1.0,0.0,1.0,0,3,0,0.0,1.0,0.0,4.23.7
28,0.6,5,2,3,0,0.4,0.6,0.0,0.6,2,3,0,0.4,0.6,0.0,4.23.9
29,1.0,3,0,3,0,0.0,1.0,0.0,1.0,0,3,0,0.0,1.0,0.0,4.23.10
30,0.16666666666666666,3,2,0,1,0.6666666666666666,0.0,0.3333333333333333,0.5,1,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,4.23.11
31,1.0,4,0,4,0,0.0,1.0,0.0,1.0,0,4,0,0.0,1.0,0.0,4.23.13
32,0.336734693877551,49,26,10,13,0.5306122448979592,0.20408163265306123,0.2653061224489796,0.7142857142857143,11,32,6,0.22448979591836735,0.6530612244897959,0.12244897959183673,6
33,0.047619047619047616,42,40,2,0,0.9523809523809523,0.047619047619047616,0.0,0.6547619047619048,11,24,7,0.2619047619047619,0.5714285714285714,0.16666666666666666,7
34,0.18032786885245902,61,50,11,0,0.819672131147541,0.18032786885245902,0.0,0.21311475409836064,44,9,8,0.7213114754098361,0.14754098360655737,0.13114754098360656,8.1
35,0.7777777777777778,9,2,7,0,0.2222222222222222,0.7777777777777778,0.0,0.7222222222222222,2,6,1,0.2222222222222222,0.6666666666666666,0.1111111111111111,8.3
36,0.5416666666666666,24,11,13,0,0.4583333333333333,0.5416666666666666,0.0,0.3333333333333333,16,8,0,0.6666666666666666,0.3333333333333333,0.0,8.4
